numero	codice
1	mx279h
2	vg248qe
3	ve248h
4	ve278q
5	pb278q
6	kdl40w600b
7	kdl48w600b
8	rl2455hm
9	39ln5300
10	vg278he
11	42ln5400
12	e970swn
13	ve228h
14	vk278q
15	vs247hp
16	42lb5600
17	mx299q
18	e480ib2
19	va2246mled
20	pb287q
21	un48h6350
22	un46eh5000
23	un40eh5000
24	42lb6300
25	un40h6350
26	55lb7200
27	49ub8500
28	g2460pqu
29	kdl55w800b
30	50ln5400
31	47ln5400
32	ve278h
33	vx2452mh
34	gw2255
35	55lb6300
36	e500ib1
37	un55h6350
38	55lb5900
39	un50eh5000
40	q2963pm
41	vx2252mh
42	55ub8500
43	lc70le650u
44	n550jkds71t
45	vs228hp
46	lc60le650u
47	un46eh5300
48	un50h6350
49	pb298q
50	pb238q
51	un60h7150
52	vx2703mhled
53	se39uy04
54	vx2370smhled
55	un60h6350
56	un65h7150
57	50lb5900
58	p2815q
59	vx2270smhled
60	60pb6900
61	va2446mled
62	kdl55w950b
63	md760llb
64	e1649fwu
65	e2460sd
66	55ln5400
67	vp2770led
68	xl2420z
69	47lb5800
70	un65hu9000
71	ve208t
72	g750jmds71
73	vn247hp
74	70lb7100
75	he225dpb
76	vs197dp
77	60lb7100
78	gw2760hs
79	32lb5600
80	ew2440l
81	vs197de
82	55ec9300
83	un40h5203
84	32lb5800
85	un65h6350
86	vs248hp
87	i2367fh
88	m321ia2
89	e400ib2
90	un32h5500
91	e550ib2
92	32l1400u
93	vs239hp
94	47ln5700
95	un40f6300
96	60lb5900
97	pn60f8500
98	60pb6650
99	29um65p
100	47lb5900
101	un65hu8550
102	pa279q
103	47lb6300
104	65la9700
105	e1659fwu
106	55ea9800
107	pa249q
108	50pn6500
109	e701ia3
110	65ub9500
111	un55h7150
112	vx239h
113	un75h6350
114	lc80le650u
115	e2070swn
116	60pb5600
117	td2420
118	td2220
119	kdl60w850b
120	un55hu9000
121	50la6200
122	i2769vm
123	42pn4500
124	60ln5400
125	m401ia3
126	vs207dp
127	se50uy04
128	e390ia1
129	24mp55hqp
130	e241ib1
131	vx2770smhled
132	un55h8000
133	vs229hp
134	vg2439mled
135	vs238hp
136	29lb4510
137	60pn6500
138	e2250swdak
139	50pb560b
140	vx238h
141	20c6008sus
142	29ub65p
143	20an0069us
144	u2868pqu
145	lc70eq10u
146	vn289q
147	84ub9800
148	39lb5600
149	un32h6350
150	un48h5500
151	md711llb
152	50lb6300
153	79ub9800
154	he247dpb
155	55ln5700
156	un75hu8550
157	td2340
158	vh238h
159	lc70sq15u
160	34um65p
161	lc60eq10u
162	vx229h
163	un60h6203
164	xbr55x850b
165	up2414q
166	va2037aled
167	s23c350h
168	un40h5500
169	84lm9600
170	xbr65x850b
171	un50f6300
172	se32hy10
173	i2369vm
174	39lb5800
175	lc90le657u
176	lc48le551u
177	pa238q
178	un55h6203
179	e2470swhe
180	ve248q
181	lc80uq17u
182	un28h4000
183	w850b
184	va2349s
185	un55hu8550
186	vg2039mled
187	vg2239mled
188	un65eh6000
189	up3214q
190	un65h8000
191	un55f8000
192	vs207tp
193	50l1400u
194	xbr65x850a
195	55la9700
196	e2314h
197	65lb6300
198	vp2772
199	pn51f8500
200	ve198t
201	un75h7150
202	40l1400u
203	xbr55x900b
204	65lb7100
205	vs278qp
206	xbr65x900b
207	va2037mled
208	20aq006hus
209	un55f6300
210	60lb6300
211	un50eh6000
212	49ub8200
213	vw2235h
